designator,comment,longitude_dd,latitude_dd,longitude_ddm,latitude_ddm,last_accessed_at,last_accessed_by
ALPHA,There's unlimited juice?,-75.0146484375,-69.91521433690127,75° 0.878906' W,69° 54.912860' S,2012-04-24,~conwat
BRAVO,-,-75.1904296875,-70.83024762385253,75° 11.425781' W,70° 49.814857' S,-,-
CHARLE,"You're losing blood, aren't you?",-71.4990234375,-71.76019138754775,71° 29.941406' W,71° 45.611483' S,-,-
DELTA,How about a turtle?,-66.09375,-72.75103864328744,66° 5.625000' W,72° 45.062319' S,-,-
ECHO,I don't criticize you!,-61.61132812500001,-73.45347276327497,61° 36.679688' W,73° 27.208366' S,-,-
FOXTRT," Did Ted make an appointment? No. Well, then Ted can GET THE HELL OUT OF THIS OFFICE! YOU GET THE HELL OUT!",-70.224609375,-73.17589717422607,70° 13.476562' W,73° 10.553830' S,-,-
GOLF,I've always been deeply passionate about nature. 🌳,-70.3125,-74.20002150558591,70° 18.750000' W,74° 12.001290' S,-,-
HOTEL,I don't know how I know that. I took four years of Spanish.,-65.4345703125,-74.42577748401031,65° 26.074219' W,74° 25.546649' S,-,-
INDIA,I am getting rid of this thing. It has caused me nothing but pride and self-respect.,-63.017578125,-75.70478638174052,63° 1.054688' W,75° 42.287183' S,-,-
JULIET,There's not a lot of logic to it.,-58.9306640625,-76.34152331547646,58° 55.839844' W,76° 20.491399' S,-,-
KILO,"Well, I hope you also carry a spare bowl of candy beans.",-55.37109374999999,-77.16692692591407,55° 22.265625' W,77° 10.015616' S,-,-
LIMA,Are you at all concerned about an uprising?,-50.71289062499999,-78.08922921093165,50° 42.773437' W,78° 5.353753' S,-,-
